ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,mode,ratio_type,numerator,denominator,ratio,LL95CI,UL95CI,ratio_se,ratio_rse,CA_decile,CA_RR,groupquarters,version
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06003,Alpine,Alpine,06003,Central/Southeast Sierra,03,Vehicle,Miles Per Square Mile,66065321.545141801,738.33199999999999,89479.152393700002,NA,NA,NA,NA,,0.0433417,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06005,Amador,Amador,06005,Central/Southeast Sierra,03,Vehicle,Miles Per Capita,393631229.68812257,36408,10811.6685808,NA,NA,NA,NA,,1.1747547,4568,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06005,Amador,Amador,06005,Central/Southeast Sierra,03,Vehicle,Miles Per Square Mile,393631229.68812257,594.58299999999997,662029.06858780002,NA,NA,NA,NA,,0.3206723,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06007,Butte,Butte,06007,Butte,02,Vehicle,Miles Per Capita,1815507419.1303115,208166,8721.4406729999992,NA,NA,NA,NA,,0.9476385,5855,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06007,Butte,Butte,06007,Butte,02,Vehicle,Miles Per Square Mile,1815507419.1303115,1636.4639999999999,1109408.7124008001,NA,NA,NA,NA,,0.5373731,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06009,Calaveras,Calaveras,06009,Central/Southeast Sierra,03,Vehicle,Miles Per Capita,444310294.59088939,42212,10525.6868803,NA,NA,NA,NA,,1.143681,442,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06009,Calaveras,Calaveras,06009,Central/Southeast Sierra,03,Vehicle,Miles Per Square Mile,444310294.59088939,1020.0119999999999,435593.20340439997,NA,NA,NA,NA,,0.2109918,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06011,Colusa,Colusa,06011,Northern Sacramento Valley,07,Vehicle,Miles Per Capita,597165892.34752083,19384,30807.1549911,NA,NA,NA,NA,,3.3473881,390,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06011,Colusa,Colusa,06011,Northern Sacramento Valley,07,Vehicle,Miles Per Square Mile,597165892.34752083,1150.731,518944.82059449999,NA,NA,NA,NA,,0.2513654,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06013,Contra Costa,Contra Costa,06013,Bay Area,01,Vehicle,Miles Per Capita,8074836440.9522533,979457,8244.1969795000005,NA,NA,NA,NA,,0.895783,11049,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06013,Contra Costa,Contra Costa,06013,Bay Area,01,Vehicle,Miles Per Square Mile,8074836440.9522533,715.93700000000001,11278696.925780101,NA,NA,NA,NA,,5.4631524,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06015,Del Norte,Del Norte,06015,North Coast,05,Vehicle,Miles Per Capita,241429481.60036069,27631,8737.6309796999994,NA,NA,NA,NA,,0.9493977,3776,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06015,Del Norte,Del Norte,06015,North Coast,05,Vehicle,Miles Per Square Mile,241429481.60036069,1006.373,239900.59510770001,NA,NA,NA,NA,,0.1162026,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06017,El Dorado,El Dorado,06017,Sacramento Area,08,Vehicle,Miles Per Capita,1714500043.0637009,164748,10406.8033789,NA,NA,NA,NA,,1.1307636,1189,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06017,El Dorado,El Dorado,06017,Sacramento Area,08,Vehicle,Miles Per Square Mile,1714500043.0637009,1707.883,1003874.4123946,NA,NA,NA,NA,,0.4862547,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06019,Fresno,Fresno,06019,San Joaquin Valley,10,Vehicle,Miles Per Capita,7854332102.436038,829533,9468.3781144999994,NA,NA,NA,NA,,1.0287979,17772,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06019,Fresno,Fresno,06019,San Joaquin Valley,10,Vehicle,Miles Per Square Mile,7854332102.436038,5957.991,1318285.3251098001,NA,NA,NA,NA,,0.6385484,,10/09/2014 11:20:00 AM
39,"Miles traveled by occurrence and mode (vehicle, walk/bike)",2002,9,Total,CO,06021,Glenn,Glenn,06021,Northern Sacramento Valley,07,Vehicle,Miles Per Capita,476837433.10644889,26838,17767.249165599998,NA,NA,NA,NA,,1.9305216,367,10/09/2014 11:20:00 AM
